Col_ID,Description,Flag for Removal,Flag for Rename,Category,Rename ideas,
MEM_shcoeffs_L2M1C_lcc,,Y,,,,
MEM_shcoeffs_L2M1S_lcc,,Y,,,,
MEM_shcoeffs_L2M2C_lcc,,Y,,,,
MEM_shcoeffs_L2M2S_lcc,,Y,,,,
MEM_shcoeffs_L2M3C_lcc,,Y,,,,
MEM_shcoeffs_L2M3S_lcc,,Y,,,,
MEM_shcoeffs_L2M4C_lcc,,Y,,,,
MEM_shcoeffs_L2M4S_lcc,,Y,,,,
MEM_shcoeffs_L2M5C_lcc,,Y,,,,
MEM_shcoeffs_L2M5S_lcc,,Y,,,,
MEM_shcoeffs_L2M6C_lcc,,Y,,,,
MEM_shcoeffs_L2M6S_lcc,,Y,,,,
MEM_shcoeffs_L2M7C_lcc,,Y,,,,
MEM_shcoeffs_L2M7S_lcc,,Y,,,,
MEM_shcoeffs_L2M8C_lcc,,Y,,,,
MEM_shcoeffs_L2M8S_lcc,,Y,,,,
MEM_shcoeffs_L2M9C_lcc,,Y,,,,
MEM_shcoeffs_L2M9S_lcc,,Y,,,,
MEM_shcoeffs_L3M0C_lcc,,Y,,,,
MEM_shcoeffs_L3M0S_lcc,,Y,,,,
MEM_shcoeffs_L3M10C_lcc,,Y,,,,
MEM_shcoeffs_L3M10S_lcc,,Y,,,,
MEM_shcoeffs_L3M11C_lcc,,Y,,,,
MEM_shcoeffs_L3M11S_lcc,,Y,,,,
MEM_shcoeffs_L3M12C_lcc,,Y,,,,
MEM_shcoeffs_L3M12S_lcc,,Y,,,,
MEM_shcoeffs_L3M13C_lcc,,Y,,,,
MEM_shcoeffs_L3M13S_lcc,,Y,,,,
MEM_shcoeffs_L3M14C_lcc,,Y,,,,
MEM_shcoeffs_L3M14S_lcc,,Y,,,,
MEM_shcoeffs_L3M15C_lcc,,Y,,,,
MEM_shcoeffs_L3M15S_lcc,,Y,,,,
MEM_shcoeffs_L3M16C_lcc,,Y,,,,
MEM_shcoeffs_L3M16S_lcc,,Y,,,,
MEM_shcoeffs_L3M1C_lcc,,Y,,,,
MEM_shcoeffs_L3M1S_lcc,,Y,,,,
MEM_shcoeffs_L3M2C_lcc,,Y,,,,
MEM_shcoeffs_L3M2S_lcc,,Y,,,,
MEM_shcoeffs_L3M3C_lcc,,Y,,,,
MEM_shcoeffs_L3M3S_lcc,,Y,,,,
MEM_shcoeffs_L3M4C_lcc,,Y,,,,
MEM_shcoeffs_L3M4S_lcc,,Y,,,,
MEM_shcoeffs_L3M5C_lcc,,Y,,,,
MEM_shcoeffs_L3M5S_lcc,,Y,,,,
MEM_shcoeffs_L3M6C_lcc,,Y,,,,
MEM_shcoeffs_L3M6S_lcc,,Y,,,,
MEM_shcoeffs_L3M7C_lcc,,Y,,,,
MEM_shcoeffs_L3M7S_lcc,,Y,,,,
MEM_shcoeffs_L3M8C_lcc,,Y,,,,
MEM_shcoeffs_L3M8S_lcc,,Y,,,,
MEM_shcoeffs_L3M9C_lcc,,Y,,,,
MEM_shcoeffs_L3M9S_lcc,,Y,,,,
MEM_shcoeffs_L4M0C_lcc,,Y,,,,
MEM_shcoeffs_L4M0S_lcc,,Y,,,,
MEM_shcoeffs_L4M10C_lcc,,Y,,,,
MEM_shcoeffs_L4M10S_lcc,,Y,,,,
MEM_shcoeffs_L4M11C_lcc,,Y,,,,
MEM_shcoeffs_L4M11S_lcc,,Y,,,,
MEM_shcoeffs_L4M12C_lcc,,Y,,,,
MEM_shcoeffs_L4M12S_lcc,,Y,,,,
MEM_shcoeffs_L4M13C_lcc,,Y,,,,
MEM_shcoeffs_L4M13S_lcc,,Y,,,,
MEM_shcoeffs_L4M14C_lcc,,Y,,,,
MEM_shcoeffs_L4M14S_lcc,,Y,,,,
MEM_shcoeffs_L4M15C_lcc,,Y,,,,
MEM_shcoeffs_L4M15S_lcc,,Y,,,,
MEM_shcoeffs_L4M16C_lcc,,Y,,,,
MEM_shcoeffs_L4M16S_lcc,,Y,,,,
MEM_shcoeffs_L4M1C_lcc,,Y,,,,
MEM_shcoeffs_L4M1S_lcc,,Y,,,,
MEM_shcoeffs_L4M2C_lcc,,Y,,,,
MEM_shcoeffs_L4M2S_lcc,,Y,,,,
MEM_shcoeffs_L4M3C_lcc,,Y,,,,
MEM_shcoeffs_L4M3S_lcc,,Y,,,,
MEM_shcoeffs_L4M4C_lcc,,Y,,,,
MEM_shcoeffs_L4M4S_lcc,,Y,,,,
MEM_shcoeffs_L4M5C_lcc,,Y,,,,
MEM_shcoeffs_L4M5S_lcc,,Y,,,,
MEM_shcoeffs_L4M6C_lcc,,Y,,,,
MEM_shcoeffs_L4M6S_lcc,,Y,,,,
MEM_shcoeffs_L4M7C_lcc,,Y,,,,
MEM_shcoeffs_L4M7S_lcc,,Y,,,,
MEM_shcoeffs_L4M8C_lcc,,Y,,,,
MEM_shcoeffs_L4M8S_lcc,,Y,,,,
MEM_shcoeffs_L4M9C_lcc,,Y,,,,
MEM_shcoeffs_L4M9S_lcc,,Y,,,,
MEM_shcoeffs_L5M0C_lcc,,Y,,,,
MEM_shcoeffs_L5M0S_lcc,,Y,,,,
MEM_shcoeffs_L5M10C_lcc,,Y,,,,
MEM_shcoeffs_L5M10S_lcc,,Y,,,,
MEM_shcoeffs_L5M11C_lcc,,Y,,,,
MEM_shcoeffs_L5M11S_lcc,,Y,,,,
MEM_shcoeffs_L5M12C_lcc,,Y,,,,
MEM_shcoeffs_L5M12S_lcc,,Y,,,,
MEM_shcoeffs_L5M13C_lcc,,Y,,,,
MEM_shcoeffs_L5M13S_lcc,,Y,,,,
MEM_shcoeffs_L5M14C_lcc,,Y,,,,
MEM_shcoeffs_L5M14S_lcc,,Y,,,,
MEM_shcoeffs_L5M15C_lcc,,Y,,,,
MEM_shcoeffs_L5M15S_lcc,,Y,,,,
MEM_shcoeffs_L5M16C_lcc,,Y,,,,
MEM_shcoeffs_L5M16S_lcc,,Y,,,,
MEM_shcoeffs_L5M1C_lcc,,Y,,,,
MEM_shcoeffs_L5M1S_lcc,,Y,,,,
MEM_shcoeffs_L5M2C_lcc,,Y,,,,
MEM_shcoeffs_L5M2S_lcc,,Y,,,,
MEM_shcoeffs_L5M3C_lcc,,Y,,,,
MEM_shcoeffs_L5M3S_lcc,,Y,,,,
MEM_shcoeffs_L5M4C_lcc,,Y,,,,
MEM_shcoeffs_L5M4S_lcc,,Y,,,,
MEM_shcoeffs_L5M5C_lcc,,Y,,,,
MEM_shcoeffs_L5M5S_lcc,,Y,,,,
MEM_shcoeffs_L5M6C_lcc,,Y,,,,
MEM_shcoeffs_L5M6S_lcc,,Y,,,,
MEM_shcoeffs_L5M7C_lcc,,Y,,,,
MEM_shcoeffs_L5M7S_lcc,,Y,,,,
MEM_shcoeffs_L5M8C_lcc,,Y,,,,
MEM_shcoeffs_L5M8S_lcc,,Y,,,,
MEM_shcoeffs_L5M9C_lcc,,Y,,,,
MEM_shcoeffs_L5M9S_lcc,,Y,,,,
MEM_shcoeffs_L6M0C_lcc,,Y,,,,
MEM_shcoeffs_L6M0S_lcc,,Y,,,,
MEM_shcoeffs_L6M10C_lcc,,Y,,,,
MEM_shcoeffs_L6M10S_lcc,,Y,,,,
MEM_shcoeffs_L6M11C_lcc,,Y,,,,
MEM_shcoeffs_L6M11S_lcc,,Y,,,,
MEM_shcoeffs_L6M12C_lcc,,Y,,,,
MEM_shcoeffs_L6M12S_lcc,,Y,,,,
MEM_shcoeffs_L6M13C_lcc,,Y,,,,
MEM_shcoeffs_L6M13S_lcc,,Y,,,,
MEM_shcoeffs_L6M14C_lcc,,Y,,,,
MEM_shcoeffs_L6M14S_lcc,,Y,,,,
MEM_shcoeffs_L6M15C_lcc,,Y,,,,
MEM_shcoeffs_L6M15S_lcc,,Y,,,,
MEM_shcoeffs_L6M16C_lcc,,Y,,,,
MEM_shcoeffs_L6M16S_lcc,,Y,,,,
MEM_shcoeffs_L6M1C_lcc,,Y,,,,
MEM_shcoeffs_L6M1S_lcc,,Y,,,,
MEM_shcoeffs_L6M2C_lcc,,Y,,,,
MEM_shcoeffs_L6M2S_lcc,,Y,,,,
MEM_shcoeffs_L6M3C_lcc,,Y,,,,
MEM_shcoeffs_L6M3S_lcc,,Y,,,,
MEM_shcoeffs_L6M4C_lcc,,Y,,,,
MEM_shcoeffs_L6M4S_lcc,,Y,,,,
MEM_shcoeffs_L6M5C_lcc,,Y,,,,
MEM_shcoeffs_L6M5S_lcc,,Y,,,,
MEM_shcoeffs_L6M6C_lcc,,Y,,,,
MEM_shcoeffs_L6M6S_lcc,,Y,,,,
MEM_shcoeffs_L6M7C_lcc,,Y,,,,
MEM_shcoeffs_L6M7S_lcc,,Y,,,,
MEM_shcoeffs_L6M8C_lcc,,Y,,,,
MEM_shcoeffs_L6M8S_lcc,,Y,,,,
MEM_shcoeffs_L6M9C_lcc,,Y,,,,
MEM_shcoeffs_L6M9S_lcc,,Y,,,,
MEM_shcoeffs_L7M0C_lcc,,Y,,,,
MEM_shcoeffs_L7M0S_lcc,,Y,,,,
MEM_shcoeffs_L7M10C_lcc,,Y,,,,
MEM_shcoeffs_L7M10S_lcc,,Y,,,,
MEM_shcoeffs_L7M11C_lcc,,Y,,,,
MEM_shcoeffs_L7M11S_lcc,,Y,,,,
MEM_shcoeffs_L7M12C_lcc,,Y,,,,
MEM_shcoeffs_L7M12S_lcc,,Y,,,,
MEM_shcoeffs_L7M13C_lcc,,Y,,,,
MEM_shcoeffs_L7M13S_lcc,,Y,,,,
MEM_shcoeffs_L7M14C_lcc,,Y,,,,
MEM_shcoeffs_L7M14S_lcc,,Y,,,,
MEM_shcoeffs_L7M15C_lcc,,Y,,,,
MEM_shcoeffs_L7M15S_lcc,,Y,,,,
MEM_shcoeffs_L7M16C_lcc,,Y,,,,
MEM_shcoeffs_L7M16S_lcc,,Y,,,,
MEM_shcoeffs_L7M1C_lcc,,Y,,,,
MEM_shcoeffs_L7M1S_lcc,,Y,,,,
MEM_shcoeffs_L7M2C_lcc,,Y,,,,
MEM_shcoeffs_L7M2S_lcc,,Y,,,,
MEM_shcoeffs_L7M3C_lcc,,Y,,,,
MEM_shcoeffs_L7M3S_lcc,,Y,,,,
MEM_shcoeffs_L7M4C_lcc,,Y,,,,
MEM_shcoeffs_L7M4S_lcc,,Y,,,,
MEM_shcoeffs_L7M5C_lcc,,Y,,,,
MEM_shcoeffs_L7M5S_lcc,,Y,,,,
MEM_shcoeffs_L7M6C_lcc,,Y,,,,
MEM_shcoeffs_L7M6S_lcc,,Y,,,,
MEM_shcoeffs_L7M7C_lcc,,Y,,,,
MEM_shcoeffs_L7M7S_lcc,,Y,,,,
MEM_shcoeffs_L7M8C_lcc,,Y,,,,
MEM_shcoeffs_L7M8S_lcc,,Y,,,,
MEM_shcoeffs_L7M9C_lcc,,Y,,,,
MEM_shcoeffs_L7M9S_lcc,,Y,,,,
MEM_shcoeffs_L8M0C_lcc,,Y,,,,
MEM_shcoeffs_L8M0S_lcc,,Y,,,,
MEM_shcoeffs_L8M10C_lcc,,Y,,,,
MEM_shcoeffs_L8M10S_lcc,,Y,,,,
MEM_shcoeffs_L8M11C_lcc,,Y,,,,
MEM_shcoeffs_L8M11S_lcc,,Y,,,,
MEM_shcoeffs_L8M12C_lcc,,Y,,,,
MEM_shcoeffs_L8M12S_lcc,,Y,,,,
MEM_shcoeffs_L8M13C_lcc,,Y,,,,
MEM_shcoeffs_L8M13S_lcc,,Y,,,,
MEM_shcoeffs_L8M14C_lcc,,Y,,,,
MEM_shcoeffs_L8M14S_lcc,,Y,,,,
MEM_shcoeffs_L8M15C_lcc,,Y,,,,
MEM_shcoeffs_L8M15S_lcc,,Y,,,,
MEM_shcoeffs_L8M16C_lcc,,Y,,,,
MEM_shcoeffs_L8M16S_lcc,,Y,,,,
MEM_shcoeffs_L8M1C_lcc,,Y,,,,
MEM_shcoeffs_L8M1S_lcc,,Y,,,,
MEM_shcoeffs_L8M2C_lcc,,Y,,,,
MEM_shcoeffs_L8M2S_lcc,,Y,,,,
MEM_shcoeffs_L8M3C_lcc,,Y,,,,
MEM_shcoeffs_L8M3S_lcc,,Y,,,,
MEM_shcoeffs_L8M4C_lcc,,Y,,,,
MEM_shcoeffs_L8M4S_lcc,,Y,,,,
MEM_shcoeffs_L8M5C_lcc,,Y,,,,
MEM_shcoeffs_L8M5S_lcc,,Y,,,,
MEM_shcoeffs_L8M6C_lcc,,Y,,,,
MEM_shcoeffs_L8M6S_lcc,,Y,,,,
MEM_shcoeffs_L8M7C_lcc,,Y,,,,
MEM_shcoeffs_L8M7S_lcc,,Y,,,,
MEM_shcoeffs_L8M8C_lcc,,Y,,,,
MEM_shcoeffs_L8M8S_lcc,,Y,,,,
MEM_shcoeffs_L8M9C_lcc,,Y,,,,
MEM_shcoeffs_L8M9S_lcc,,Y,,,,
MEM_shcoeffs_L9M0C_lcc,,Y,,,,
MEM_shcoeffs_L9M0S_lcc,,Y,,,,
MEM_shcoeffs_L9M10C_lcc,,Y,,,,
MEM_shcoeffs_L9M10S_lcc,,Y,,,,
MEM_shcoeffs_L9M11C_lcc,,Y,,,,
MEM_shcoeffs_L9M11S_lcc,,Y,,,,
MEM_shcoeffs_L9M12C_lcc,,Y,,,,
MEM_shcoeffs_L9M12S_lcc,,Y,,,,
MEM_shcoeffs_L9M13C_lcc,,Y,,,,
MEM_shcoeffs_L9M13S_lcc,,Y,,,,
MEM_shcoeffs_L9M14C_lcc,,Y,,,,
MEM_shcoeffs_L9M14S_lcc,,Y,,,,
MEM_shcoeffs_L9M15C_lcc,,Y,,,,
MEM_shcoeffs_L9M15S_lcc,,Y,,,,
MEM_shcoeffs_L9M16C_lcc,,Y,,,,
MEM_shcoeffs_L9M16S_lcc,,Y,,,,
MEM_shcoeffs_L9M1C_lcc,,Y,,,,
MEM_shcoeffs_L9M1S_lcc,,Y,,,,
MEM_shcoeffs_L9M2C_lcc,,Y,,,,
MEM_shcoeffs_L9M2S_lcc,,Y,,,,
MEM_shcoeffs_L9M3C_lcc,,Y,,,,
MEM_shcoeffs_L9M3S_lcc,,Y,,,,
MEM_shcoeffs_L9M4C_lcc,,Y,,,,
MEM_shcoeffs_L9M4S_lcc,,Y,,,,
MEM_shcoeffs_L9M5C_lcc,,Y,,,,
MEM_shcoeffs_L9M5S_lcc,,Y,,,,
MEM_shcoeffs_L9M6C_lcc,,Y,,,,
MEM_shcoeffs_L9M6S_lcc,,Y,,,,
MEM_shcoeffs_L9M7C_lcc,,Y,,,,
MEM_shcoeffs_L9M7S_lcc,,Y,,,,
MEM_shcoeffs_L9M8C_lcc,,Y,,,,
MEM_shcoeffs_L9M8S_lcc,,Y,,,,
MEM_shcoeffs_L9M9C_lcc,,Y,,,,
MEM_shcoeffs_L9M9S_lcc,,Y,,,,
membrane_clip_hi,Cell Membrane pixel intensity used for upper bound clipped values,,,cell metric,,
membrane_clip_lo,Cell Membrane pixel intensity used for lower bound clipped values,,,cell metric,,
meta_colony_area,Area of colony,,,colony metadata,,
meta_colony_centroid,"(X,Y) centroid of colony",,,colony metadata,,
meta_colony_label,Colony identifier,,,colony metadata,,
meta_fov_edgedist,Euclidean distance of FOV centroid to nearest colony edge,,,field-of-view metadata,,
meta_fov_outside_overview,Whether or not the colony touches the boundary of the overview image,,,colony metadata,,
meta_fov_position,"Position of FOV: edge, center, or ridge",,,field-of-view metadata,,
meta_fov_xcoord,X component of stage centroid coordinate?,,,field-of-view metadata,,
meta_fov_ycoord,Y component of stage centroid coordinate?,,,field-of-view metadata,,
meta_imaging_mode,"One of three modes used to capture variations in colony area and locations within the colony (modes A and C), and to enrich images with mitotic cells (mode B) (not sure how much detail to provide)",,,colony metadata,,
meta_plate_bad_segmentation,Whether or not poor colony segmentations were detected,,,field-of-view metadata,,
meta_plate_confluency,Percentage of confluency on the plate,,,field-of-view metadata,,
meta_well_passage_at_imaging,Total passages,,,field-of-view metadata,,
meta_well_passage_at_thaw,Passages post-thaw,,,field-of-view metadata,,
name_dict,a dictionary of channel names in crop_raw and crop_seg. The python dictionary can be programmatically extract by the eval() function.,Y- these are on allen and won't have access?,,,,
NUC_MEM_PC1,Shape Mode 1,,Y,cell metric,shape_mode_1_height,shape_feature_PC1_height
NUC_MEM_PC2,Shape Mode 2,,Y,cell metric,shape_mode_2_volume,shape_feature_PC2_volume
NUC_MEM_PC3,Shape Mode 3,,Y,cell metric,shape_mode_3_major_tilt,shape_feature_PC3_major_tilt
NUC_MEM_PC4,Shape Mode 4,,Y,cell metric,shape_mode_4_minor_tilt,shape_feature_PC4_minor_tilt
NUC_MEM_PC5,Shape Mode 5,,Y,cell metric,shape_mode_5_elongation,shape_feature_PC5_elongation
NUC_MEM_PC6,Shape Mode 6,,Y,cell metric,shape_mode_6_bean-ness,shape_feature_PC6_bean-ness
NUC_MEM_PC7,Shape Mode 7,,Y,cell metric,shape_mode_7_pear-ness,shape_feature_PC7_pear-ness
NUC_MEM_PC8,Shape Mode 8,,Y,cell metric,shape_mode_8_wedge,shape_feature_PC8_wedge
NUC_position_depth,Nuclear height computed from nuclear segmentation in um,,Y,cell metric,Nuclear_Height,
NUC_roundness_surface_area,Nuclear surface area computed from nuclear segmentation in um^2,,Y,cell metric,Nuclear_Surface_Area,
NUC_shape_volume,Nuclear volume computed from nuclear segmentation in um^3,,Y,cell metric,Nuclear_Volume,
NUC_shcoeffs_L0M0C_lcc,,Y,,,,
NUC_shcoeffs_L0M0S_lcc,,Y,,,,
NUC_shcoeffs_L0M10C_lcc,,Y,,,,
NUC_shcoeffs_L0M10S_lcc,,Y,,,,
NUC_shcoeffs_L0M11C_lcc,,Y,,,,
NUC_shcoeffs_L0M11S_lcc,,Y,,,,
NUC_shcoeffs_L0M12C_lcc,,Y,,,,
NUC_shcoeffs_L0M12S_lcc,,Y,,,,
NUC_shcoeffs_L0M13C_lcc,,Y,,,,
NUC_shcoeffs_L0M13S_lcc,,Y,,,,
NUC_shcoeffs_L0M14C_lcc,,Y,,,,
NUC_shcoeffs_L0M14S_lcc,,Y,,,,
NUC_shcoeffs_L0M15C_lcc,,Y,,,,
NUC_shcoeffs_L0M15S_lcc,,Y,,,,
NUC_shcoeffs_L0M16C_lcc,,Y,,,,
NUC_shcoeffs_L0M16S_lcc,,Y,,,,
NUC_shcoeffs_L0M1C_lcc,,Y,,,,
NUC_shcoeffs_L0M1S_lcc,,Y,,,,
NUC_shcoeffs_L0M2C_lcc,,Y,,,,
NUC_shcoeffs_L0M2S_lcc,,Y,,,,
NUC_shcoeffs_L0M3C_lcc,,Y,,,,
NUC_shcoeffs_L0M3S_lcc,,Y,,,,
NUC_shcoeffs_L0M4C_lcc,,Y,,,,
NUC_shcoeffs_L0M4S_lcc,,Y,,,,
NUC_shcoeffs_L0M5C_lcc,,Y,,,,
NUC_shcoeffs_L0M5S_lcc,,Y,,,,
NUC_shcoeffs_L0M6C_lcc,,Y,,,,
NUC_shcoeffs_L0M6S_lcc,,Y,,,,
NUC_shcoeffs_L0M7C_lcc,,Y,,,,
NUC_shcoeffs_L0M7S_lcc,,Y,,,,
NUC_shcoeffs_L0M8C_lcc,,Y,,,,
NUC_shcoeffs_L0M8S_lcc,,Y,,,,
NUC_shcoeffs_L0M9C_lcc,,Y,,,,
NUC_shcoeffs_L0M9S_lcc,,Y,,,,
NUC_shcoeffs_L10M0C_lcc,,Y,,,,
NUC_shcoeffs_L10M0S_lcc,,Y,,,,
NUC_shcoeffs_L10M10C_lcc,,Y,,,,
NUC_shcoeffs_L10M10S_lcc,,Y,,,,
NUC_shcoeffs_L10M11C_lcc,,Y,,,,
NUC_shcoeffs_L10M11S_lcc,,Y,,,,
NUC_shcoeffs_L10M12C_lcc,,Y,,,,
NUC_shcoeffs_L10M12S_lcc,,Y,,,,
NUC_shcoeffs_L10M13C_lcc,,Y,,,,
NUC_shcoeffs_L10M13S_lcc,,Y,,,,
NUC_shcoeffs_L10M14C_lcc,,Y,,,,
NUC_shcoeffs_L10M14S_lcc,,Y,,,,
NUC_shcoeffs_L10M15C_lcc,,Y,,,,
NUC_shcoeffs_L10M15S_lcc,,Y,,,,
NUC_shcoeffs_L10M16C_lcc,,Y,,,,
NUC_shcoeffs_L10M16S_lcc,,Y,,,,
NUC_shcoeffs_L10M1C_lcc,,Y,,,,
NUC_shcoeffs_L10M1S_lcc,,Y,,,,
NUC_shcoeffs_L10M2C_lcc,,Y,,,,
NUC_shcoeffs_L10M2S_lcc,,Y,,,,
NUC_shcoeffs_L10M3C_lcc,,Y,,,,
NUC_shcoeffs_L10M3S_lcc,,Y,,,,
NUC_shcoeffs_L10M4C_lcc,,Y,,,,
NUC_shcoeffs_L10M4S_lcc,,Y,,,,
NUC_shcoeffs_L10M5C_lcc,,Y,,,,
NUC_shcoeffs_L10M5S_lcc,,Y,,,,
NUC_shcoeffs_L10M6C_lcc,,Y,,,,
NUC_shcoeffs_L10M6S_lcc,,Y,,,,
NUC_shcoeffs_L10M7C_lcc,,Y,,,,
NUC_shcoeffs_L10M7S_lcc,,Y,,,,
NUC_shcoeffs_L10M8C_lcc,,Y,,,,
NUC_shcoeffs_L10M8S_lcc,,Y,,,,
NUC_shcoeffs_L10M9C_lcc,,Y,,,,
NUC_shcoeffs_L10M9S_lcc,,Y,,,,
NUC_shcoeffs_L11M0C_lcc,,Y,,,,
NUC_shcoeffs_L11M0S_lcc,,Y,,,,
NUC_shcoeffs_L11M10C_lcc,,Y,,,,
NUC_shcoeffs_L11M10S_lcc,,Y,,,,
NUC_shcoeffs_L11M11C_lcc,,Y,,,,
NUC_shcoeffs_L11M11S_lcc,,Y,,,,
NUC_shcoeffs_L11M12C_lcc,,Y,,,,
NUC_shcoeffs_L11M12S_lcc,,Y,,,,
NUC_shcoeffs_L11M13C_lcc,,Y,,,,
NUC_shcoeffs_L11M13S_lcc,,Y,,,,
NUC_shcoeffs_L11M14C_lcc,,Y,,,,
NUC_shcoeffs_L11M14S_lcc,,Y,,,,
NUC_shcoeffs_L11M15C_lcc,,Y,,,,
NUC_shcoeffs_L11M15S_lcc,,Y,,,,
NUC_shcoeffs_L11M16C_lcc,,Y,,,,
NUC_shcoeffs_L11M16S_lcc,,Y,,,,
NUC_shcoeffs_L11M1C_lcc,,Y,,,,
NUC_shcoeffs_L11M1S_lcc,,Y,,,,
NUC_shcoeffs_L11M2C_lcc,,Y,,,,
NUC_shcoeffs_L11M2S_lcc,,Y,,,,
NUC_shcoeffs_L11M3C_lcc,,Y,,,,
NUC_shcoeffs_L11M3S_lcc,,Y,,,,
NUC_shcoeffs_L11M4C_lcc,,Y,,,,
NUC_shcoeffs_L11M4S_lcc,,Y,,,,
NUC_shcoeffs_L11M5C_lcc,,Y,,,,
NUC_shcoeffs_L11M5S_lcc,,Y,,,,
NUC_shcoeffs_L11M6C_lcc,,Y,,,,
NUC_shcoeffs_L11M6S_lcc,,Y,,,,
NUC_shcoeffs_L11M7C_lcc,,Y,,,,
NUC_shcoeffs_L11M7S_lcc,,Y,,,,
NUC_shcoeffs_L11M8C_lcc,,Y,,,,
NUC_shcoeffs_L11M8S_lcc,,Y,,,,
NUC_shcoeffs_L11M9C_lcc,,Y,,,,
NUC_shcoeffs_L11M9S_lcc,,Y,,,,
NUC_shcoeffs_L12M0C_lcc,,Y,,,,
NUC_shcoeffs_L12M0S_lcc,,Y,,,,
NUC_shcoeffs_L12M10C_lcc,,Y,,,,
NUC_shcoeffs_L12M10S_lcc,,Y,,,,
NUC_shcoeffs_L12M11C_lcc,,Y,,,,
NUC_shcoeffs_L12M11S_lcc,,Y,,,,
NUC_shcoeffs_L12M12C_lcc,,Y,,,,
NUC_shcoeffs_L12M12S_lcc,,Y,,,,
NUC_shcoeffs_L12M13C_lcc,,Y,,,,
NUC_shcoeffs_L12M13S_lcc,,Y,,,,
NUC_shcoeffs_L12M14C_lcc,,Y,,,,
NUC_shcoeffs_L12M14S_lcc,,Y,,,,
NUC_shcoeffs_L12M15C_lcc,,Y,,,,
NUC_shcoeffs_L12M15S_lcc,,Y,,,,
NUC_shcoeffs_L12M16C_lcc,,Y,,,,
NUC_shcoeffs_L12M16S_lcc,,Y,,,,
NUC_shcoeffs_L12M1C_lcc,,Y,,,,
NUC_shcoeffs_L12M1S_lcc,,Y,,,,
NUC_shcoeffs_L12M2C_lcc,,Y,,,,
NUC_shcoeffs_L12M2S_lcc,,Y,,,,
NUC_shcoeffs_L12M3C_lcc,,Y,,,,
NUC_shcoeffs_L12M3S_lcc,,Y,,,,
NUC_shcoeffs_L12M4C_lcc,,Y,,,,
NUC_shcoeffs_L12M4S_lcc,,Y,,,,
NUC_shcoeffs_L12M5C_lcc,,Y,,,,
NUC_shcoeffs_L12M5S_lcc,,Y,,,,
NUC_shcoeffs_L12M6C_lcc,,Y,,,,
NUC_shcoeffs_L12M6S_lcc,,Y,,,,
NUC_shcoeffs_L12M7C_lcc,,Y,,,,
NUC_shcoeffs_L12M7S_lcc,,Y,,,,
NUC_shcoeffs_L12M8C_lcc,,Y,,,,
NUC_shcoeffs_L12M8S_lcc,,Y,,,,
NUC_shcoeffs_L12M9C_lcc,,Y,,,,
NUC_shcoeffs_L12M9S_lcc,,Y,,,,
NUC_shcoeffs_L13M0C_lcc,,Y,,,,
NUC_shcoeffs_L13M0S_lcc,,Y,,,,
NUC_shcoeffs_L13M10C_lcc,,Y,,,,
NUC_shcoeffs_L13M10S_lcc,,Y,,,,
NUC_shcoeffs_L13M11C_lcc,,Y,,,,
NUC_shcoeffs_L13M11S_lcc,,Y,,,,
NUC_shcoeffs_L13M12C_lcc,,Y,,,,
NUC_shcoeffs_L13M12S_lcc,,Y,,,,
NUC_shcoeffs_L13M13C_lcc,,Y,,,,
NUC_shcoeffs_L13M13S_lcc,,Y,,,,
NUC_shcoeffs_L13M14C_lcc,,Y,,,,
NUC_shcoeffs_L13M14S_lcc,,Y,,,,
NUC_shcoeffs_L13M15C_lcc,,Y,,,,
